item_id,frame_id,gt_index,mask_iou,normalized_mssd,mspd_px
s000010-i000010-p000024,s000010-i000010,14,0.5737901293723048,0.07978847040071081,3.9498558967988906
s000010-i000010-p000023,s000010-i000010,13,0.5327889767797908,0.10745936315152546,6.2094582267552125
s000010-i000010-p000016,s000010-i000010,12,0.5155417406749556,0.05121293260304418,3.228557936114987
s000010-i000020-p000027,s000010-i000020,12,0.8719794344473007,0.05634077252030335,4.489615705869269
s000010-i000020-p000007,s000010-i000020,4,0.8501187648456057,0.0542924236267571,4.698826710420178
s000010-i000020-p000011,s000010-i000020,15,0.8406668488658103,0.06582345408210785,5.791496390335182
s000010-i000020-p000004,s000010-i000020,30,0.8389314996032795,0.07039252097894065,5.373159816935623
s000010-i000020-p000006,s000010-i000020,0,0.8355648535564854,0.07601965706945653,4.010530481883017
s000010-i000020-p000012,s000010-i000020,3,0.830060606060606,0.1008025200075624,8.772915095185008
s000010-i000020-p000000,s000010-i000020,25,0.815406976744186,0.0797463766972956,6.705686052976829
s000010-i000020-p000016,s000010-i000020,16,0.8043620501635769,0.07899368893479805,7.025194687099486
s000010-i000020-p000030,s000010-i000020,24,0.794329649207112,0.07291018635152731,4.977290755325766
s000010-i000020-p000034,s000010-i000020,19,0.7777486224088166,0.0783495799825762,6.840757163268708
s000010-i000020-p000015,s000010-i000020,20,0.7413180202351655,0.06670501542481382,4.341189690156652
s000010-i000020-p000018,s000010-i000020,32,0.730605738575983,0.06950503993579239,5.626358766181179
s000010-i000020-p000022,s000010-i000020,8,0.6954858454475898,0.09466254808817089,6.1506900823390085
s000010-i000020-p000023,s000010-i000020,33,0.6912245411113905,0.07053948686601941,5.2892295332489105
s000010-i000020-p000002,s000010-i000020,9,0.6706500956022945,0.0589732714611578,4.059442129268347
s000010-i000020-p000021,s000010-i000020,11,0.6688806888068881,0.08671575440592777,5.9224826695129735
s000010-i000020-p000026,s000010-i000020,34,0.6627521062037274,0.05245751401797253,4.572616337686356
s000010-i000020-p000013,s000010-i000020,5,0.6534947464595706,0.04791842000833979,4.144979824725344
s000010-i000020-p000019,s000010-i000020,31,0.6531182128451753,0.049386910510246025,3.013237021600632
s000010-i000020-p000017,s000010-i000020,17,0.6527882916982084,0.07389123960795302,4.4915285701386685
s000010-i000020-p000001,s000010-i000020,10,0.6527610320713769,0.07889442294610609,4.904188878437637
s000010-i000020-p000005,s000010-i000020,2,0.6469737159392331,0.0730787028418848,5.840407402478921
s000010-i000020-p000025,s000010-i000020,13,0.6185725249424405,0.09860211246850727,6.003984878300718
s000010-i000020-p000008,s000010-i000020,18,0.6160530528241481,0.039274678691870256,3.4857278018673905
s000010-i000020-p000014,s000010-i000020,7,0.6085202924124024,0.05487602073170535,4.6829574910158565
s000010-i000020-p000032,s000010-i000020,28,0.5967741935483871,0.06949709455071279,6.38080837999309
s000010-i000020-p000010,s000010-i000020,23,0.5886075949367089,0.10563219969150084,6.490500252000242
s000010-i000020-p000020,s000010-i000020,27,0.5791162675882499,0.08571021262328964,5.176677590637218
s000010-i000020-p000024,s000010-i000020,14,0.5610647181628392,0.07846827824894276,5.279706535316886
