item_id,pose_max_abs,rotation_element_max_abs,translation_max_abs_m,top_score_abs,score_margin_abs
s000025-i000000-p000028,5.1349401473999023e-05,5.1349401473999023e-05,1.667998731136322e-06,0.046875,0.00390625
s000025-i000000-p000029,1.359898030757904,1.359898030757904,0.0002052783966064453,0.0234375,0.0
s000025-i000000-p000030,0.0013248622417449951,0.0013248622417449951,1.7285346984863281e-06,0.046875,0.0
s000025-i000000-p000031,0.0037441253662109375,0.0037441253662109375,6.639957427978516e-05,0.1875,0.0
s000025-i000000-p000032,0.001640021800994873,0.001640021800994873,2.485513687133789e-05,0.0625,0.0
s000025-i000000-p000033,0.005896884948015213,0.005896884948015213,0.00014540553092956543,0.296875,0.015625
s000025-i000000-p000034,0.05317500978708267,0.05317500978708267,0.0002260357141494751,0.03125,0.03125
s000025-i000000-p000035,0.11270910501480103,0.11270910501480103,0.0001469254493713379,0.296875,0.015625
s000025-i000000-p000036,0.0011235177516937256,0.0011235177516937256,1.2934207916259766e-05,0.046875,0.0
s000025-i000000-p000037,0.0009560734033584595,0.0009560734033584595,1.1920928955078125e-05,0.046875,0.0
s000025-i000000-p000038,1.9971843361854553,1.9971843361854553,0.017949633300304413,0.5,0.09375
s000025-i000000-p000039,0.8725899085402489,0.8725899085402489,0.00248090922832489,0.1875,0.0
s000025-i000000-p000040,0.005687981843948364,0.005687981843948364,1.545250415802002e-05,0.4375,0.0
s000025-i000000-p000041,0.00036097317934036255,0.00036097317934036255,2.2172927856445312e-05,0.078125,0.0
s000025-i000000-p000042,2.0176172256469727e-05,2.0176172256469727e-05,1.7881393432617188e-07,0.0625,0.0
s000025-i000000-p000043,0.0012416169047355652,0.0012416169047355652,2.9861927032470703e-05,0.0625,0.0
s000025-i000000-p000044,1.3411623537540436,1.3411623537540436,0.03127169609069824,0.1875,0.03125
s000025-i000000-p000045,0.0013838708400726318,0.0013838708400726318,1.6868114471435547e-05,0.0625,0.015625
s000025-i000000-p000046,1.8182929158210754,1.8182929158210754,0.0002269148826599121,0.21875,0.015625
s000025-i000000-p000047,1.6782418489456177,1.6782418489456177,0.000576116144657135,0.015625,0.0
s000025-i000000-p000048,0.007328882813453674,0.007328882813453674,2.0809471607208252e-05,0.01171875,0.00390625
s000025-i000000-p000049,1.0748969912528992,1.0748969912528992,0.000128135085105896,0.3984375,0.015625
s000025-i000010-p000000,1.9974565505981445,1.9974565505981445,7.444620132446289e-05,0.0625,0.0078125
s000025-i000010-p000001,1.9951748251914978,1.9951748251914978,0.00029659271240234375,0.578125,0.0390625
s000025-i000010-p000002,0.0005754828453063965,0.0005754828453063965,1.8477439880371094e-05,0.046875,0.0
s000025-i000010-p000003,0.0007112137973308563,0.0007112137973308563,1.9431114196777344e-05,0.0625,0.0
s000025-i000010-p000004,0.001824989914894104,0.001824989914894104,8.38935375213623e-06,0.171875,0.0
s000025-i000010-p000005,0.8255184590816498,0.8255184590816498,0.0007238537073135376,0.06640625,0.0
s000025-i000010-p000006,1.9064664840698242,1.9064664840698242,0.0001696329563856125,0.140625,0.015625
s000025-i000010-p000007,5.424022674560547e-05,5.424022674560547e-05,5.1818788051605225e-06,0.0078125,0.0
s000025-i000010-p000008,0.0001844167709350586,0.0001844167709350586,1.4387071132659912e-05,0.0078125,0.0
s000025-i000010-p000009,0.0018251240253448486,0.0018251240253448486,2.5212764739990234e-05,0.078125,0.0
s000025-i000010-p000010,2.0977109670639038e-05,2.0977109670639038e-05,8.754432201385498e-08,0.234375,0.0
s000025-i000010-p000011,0.001295819878578186,0.001295819878578186,2.562999725341797e-05,0.015625,0.0
s000025-i000010-p000012,4.7072768211364746e-05,4.7072768211364746e-05,1.1324882507324219e-06,0.0625,0.0
s000025-i000010-p000013,1.1470758318901062,1.1470758318901062,0.0006355643272399902,0.078125,0.0
s000025-i000010-p000014,1.1584029793739319,1.1584029793739319,4.9233436584472656e-05,0.1875,0.015625
s000025-i000010-p000015,8.812546730041504e-05,8.812546730041504e-05,1.4901161193847656e-06,0.03125,0.0
s000025-i000010-p000016,0.0009035766124725342,0.0009035766124725342,6.515905261039734e-05,0.078125,0.0
s000025-i000010-p000017,1.0090834945440292,1.0090834945440292,0.00024974066764116287,0.0,0.015625
s000025-i000010-p000018,0.0002522502327337861,0.0002522502327337861,2.0384788513183594e-05,0.140625,0.0
s000025-i000010-p000019,1.1805033385753632,1.1805033385753632,0.000316619873046875,0.046875,0.015625
s000025-i000010-p000020,0.0012928545475006104,0.0012928545475006104,2.555549144744873e-05,0.078125,0.0
s000025-i000010-p000021,1.84977787733078,1.84977787733078,0.0003263503313064575,1.234375,0.1171875
s000025-i000010-p000022,0.0005095005035400391,0.0005095005035400391,8.091330528259277e-06,0.109375,0.0
s000025-i000010-p000023,1.2041462659835815,1.2041462659835815,0.0003820788115262985,0.0,0.0
s000025-i000010-p000024,0.002240300178527832,0.002240300178527832,3.612041473388672e-05,0.03125,0.015625
s000025-i000010-p000025,0.016257822513580322,0.016257822513580322,0.00038504600524902344,0.0625,0.0
s000025-i000010-p000026,0.0004012063145637512,0.0004012063145637512,6.268918514251709e-05,0.1953125,0.0078125
s000025-i000010-p000027,1.7714433670043945,1.7714433670043945,0.0005085542798042297,0.140625,0.03125
s000025-i000010-p000028,1.2047666609287262,1.2047666609287262,0.0006586313247680664,0.0,0.0
s000025-i000010-p000029,0.000573575496673584,0.000573575496673584,1.6033649444580078e-05,0.03125,0.0
